City,area,population,state,district,world,new,national,century,known,town,government,major,south,temple,people,capital,international,north,university,region,Rating
Kufri  India,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,3.14
Una  Himachal Pradesh,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,3.25
Bharmour,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Khajjiar,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,4.0
Chamba  Himachal Pradesh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.22
Sarahan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Parwanoo,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,4.0
Mashobra,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,4.0
Kalpa  Himachal Pradesh,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,4.5
Dharamkot  Himachal Pradesh,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,3.0
Kullu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.45
Narkanda,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,4.33
Solan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.86
McLeod Ganj,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.16
Kasauli,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,3.75
Nainital,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.36
Mussoorie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.25
Dehradun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.41
Ranikhet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.19
Almora,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.36
Auli,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,3.95
Badrinath,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,4.27
Lansdowne  India,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3.91
Rishikesh,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.28
Mukteshwar,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,4.67
Haridwar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.23
Munsiari,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,3.5
Kausani,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,4.4
Kotdwar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3.0
Haldwani,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.09
Shivpuri,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,4.5
Chopta,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,4.5
Kanatal,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,4.0
Munsiari,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,3.75
Pithoragarh,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,4.0
Kedarnath,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,4.33
Rudrapur,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Chamoli district,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Kashipur  Uttarakhand,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0
Devprayag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,4.5
Champawat,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,3.5
Jageshwar,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4.5
Dhanaulti,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,3.8
Kila Raipur,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,4.5
Pathankot,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4.5
Gurdaspur,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,3.0
Barnala,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.75
Hoshiarpur,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,2.17
Ludhiana,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.17
Jalandhar,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.33
Patiala,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.83
Chandigarh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.53
Amritsar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.53
Karnal,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,4.5
Fatehabad  Haryana,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,2.0
Bilaspur  Chhattisgarh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0
Kangra  Himachal Pradesh,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.13
Lahaul and Spiti district,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.8
Manesar,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0
