City,area,population,state,district,world,new,national,century,known,town,government,major,south,temple,people,capital,international,north,university,region,Rating
Thenmala,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,4.25
Kollam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Kumarakom,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,4.4
Athirappilly,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Vagamon,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,3.75
Aluva,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3.5
Wayanad district,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.35
Alappuzha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.78
Palakkad,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,1,3.86
Sabarimala,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,4.25
Thiruvananthapuram,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.31
Thekkady,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,3.95
Kozhikode,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33
Kovalam,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,4.19
Kollam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.67
Ernakulam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.33
Kochi,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.11
Kottayam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.5
Kodaikanal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.1
Tirunelveli,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3.25
Karaikudi,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3.75
Valparai,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4.0
Thirumayam,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,3.5
Thoothukudi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.67
Theni,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,4.67
Palani,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3.75
Tiruchirappalli,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.58
Yercaud,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3.89
Kumbakonam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4
Courtallam,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4.2
Tiruvannamalai,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Yelagiri,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3.46
Thanjavur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.55
Ooty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.17
Madurai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Kanyakumari,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4.3
Kanchipuram,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.37
Chennai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.9
Coimbatore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.42
Coonoor,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.23
Rameswaram,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.3
Yercaud,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3.86
Pondicherry,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.06
Port Blair,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,4.65
Havelock Island,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,4.38
Agatti Island,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,1,4.6
Lakshadweep,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,3.58
Silvassa,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.67
Namchi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.29
Ravangla,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,4.67
Soreng,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,3.0
Lachung,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,3.75
Gangtok,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4
Dibrugarh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.8
Tinsukia,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,4.0
Digboi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Jorhat,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Majuli,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.71
Guwahati,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.24
Bhalukpong,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,4.0
Itanagar,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,3.0
Tawang,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,4.5
Shillong,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4.32
Cherrapunji,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.5
Mawlynnong,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,4.5
Wokha,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,3.5
Dimapur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Kohima,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.67
Ukhrul,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Imphal,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,4.0
Aizawl,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,4.0
Unakoti,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,4.0
Agartala,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.33
Murshidabad,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4.5
Bagdogra,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1.0
Digha,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,3.46
Gadiara,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,4.67
Mukutmanipur,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,3.0
Sundarbans,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0
Haldia,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1.6
Raiganj,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Asansol,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,3.57
Purulia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.8
Howrah,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,3.3
Baharampur,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,4.0
Durgapur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Krishnanagar  Nadia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Bakkhali,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,3.06
Mandarmani,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,1,3.25
Darjeeling,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.26
Kolkata,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.17
Kalimpong,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.88
Rourkela,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Gopalpur  Odisha,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Kendujhar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.33
Phulbani,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,3.2
Sambalpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Jeypore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Koraput,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.33
Cuttack,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Bhubaneswar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.24
Puri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.3
Angul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4.67
Ghatshila,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33
Maluti,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,3.0
Netarhat,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,2.67
Dumka,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2.0
Jamshedpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.0
Medininagar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,3.0
Dhanbad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Hazaribagh,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.2
Latehar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0
Ranchi,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,4.15
Bastar district,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.6
Jamnagar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.67
Vadodara,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.89
Dang District  India,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,4.0
Gandhinagar,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,4.38
Mandvi,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.33
Bhuj,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.45
Bhavnagar,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3.83
Veraval,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,4.0
Rajkot,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.25
Kutch district,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.8
Dwarka,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3.87
Palitana,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.86
Udwada,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,4.0
Saurashtra (region),1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.63
Gondal  India,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4.33
Diu  India,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,4.09
Junagadh,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Porbander,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.1
Surat,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3.83
Baroda,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.42
Ahmedabad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.43
Daman,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.05
Tikamgarh,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,2.0
Dewas,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.5
Multai,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1,4.0
Bhedaghat,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,3.75
Singrauli,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,3.33
Jhansi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25
Ratlam,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3.7
Orchha,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,4.6
Amarkantak,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,4.56
Chitrakoot  Madhya Pradesh,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.0
Sanchi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Datia,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,4.0
Panchmarhi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.83
Maheshwar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33
Mandu  Madhya Pradesh,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,3.8
Bhopal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.37
Jabalpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Indore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.62
Pachmarhi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4
Gwalior,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.1
Ujjain,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.29
Ganpatipule,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,4.32
Saputara,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,3.68
Tuljapur,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,4.63
Ahmednagar,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.22
Sevagram,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3.0
Palghar,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1.5
Kaas Plateau,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,4.25
Kalyan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Sawantwadi,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,4.67
Ratnagiri,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,4.25
Dudhani,1,0,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,3.0
Shrivardhan,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Wai  Maharashtra,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.8
Solapur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.33
Khed  Ratnagiri,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,4.0
Amravati,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Malvan,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Kolad,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,4.0
Bhivpuri,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,3.57
Nashik,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.12
Shani Shingnapur,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,2.22
Magarpatta,1,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,3.5
Lavasa,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,3.09
Amboli  Sindhudurg,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,4.17
Aamby Valley City,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,2.95
Diveagar,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,4.05
Kamshet,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,3.83
Aurangabad  Maharashtra,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.32
Tarkarli,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,4.11
Tuljapur,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,4.63
Satara (city),1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4.73
Pandharpur,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,3.71
Ganpatipule,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,4.32
Bhandardhara,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,4.33
Kolhapur,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.25
Saputara,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,3.68
Navi Mumbai,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.23
Panchgani,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.89
Shirdi,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,4.49
Nagpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.15
Mahabaleshwar,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,4.19
Khandala,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,4.28
Lonavla,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,4.24
Kihim,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3.89
Dahanu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.14
Bassein,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Alibag,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,3.85
Mumbai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.21
Dhaka,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.33
Chittagong,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Zhejiang,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Yunnan,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Macau,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.2
Guilin,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,4.0
Shanghai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.29
Beijing,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.32
Hong kong,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.11
Bali,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.26
Java,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.5
Jakarta,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.2
Hiroshima,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Tokyo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.57
Almaty,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0
Pulau Ketam,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,4.33
Putrajaya,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Penang,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Kuala Lumpur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.45
Langkawi,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4.43
Miri  Malaysia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Kuala Kangsar District,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,4.5
Tioman Island,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,4.75
Kuantan,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4.0
Shah Alam,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Johor Bahru,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Batu Gajah,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,4.0
Port Dickson,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,3.5
Male,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,4.5
Pokhara,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.69
Lalitpur  Nepal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Kathmandu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25
Bhaktapur,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,4.0
Rawalpindi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Quetta,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,4.8
Peshawar,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25
Lahore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.62
Karachi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.11
Islamabad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.74
Gilgit,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.74
Manila,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.33
Boracay,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,4.33
Singapore,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.26
Sentosa,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.69
Seoul,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.13
Bentota,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,3.0
Kandy,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Colombo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.13
Taichung,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Taipei,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Ko Samui,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.0
Chiang Mai,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,4.8
Phuket City,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,4.33
Phuket Province,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.33
Pattaya,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.25
Bangkok,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.29
Ho Chi Minh City,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.0
Hanoi,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.67
Vienna,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.88
Salzburg,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4.86
Innsbruck,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Ypres,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,4.67
Antwerp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.75
Sofia,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.5
Lanzarote,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,4.0
Canary Islands,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4
Ayia Napa,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,4.0
Cyprus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.4
Prague,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.43
Copenhagen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4.5
Cannes,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4.75
