City,Mountain,Desert,Waterfall,Beach,River,Workship-place,Climate,Zoo,Park,Travel,Archaelogical-site,Festival,Pollution,Tourist,Cuisine,Safety,Museum,Stadium,Market,Concert,Rating
Thenmala,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4
Kollam,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,4
Kumarakom,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,4.5
Athirappilly,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4.5
Vagamon,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,3.5
Aluva,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,3.5
Wayanad district,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4.5
Alappuzha,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,4.0
Palakkad,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0
Sabarimala,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,4
Thiruvananthapuram,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,4.5
Thekkady,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,4.0
Kozhikode,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,1,3.5
Kovalam,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4
Kollam,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,3.5
Ernakulam,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,4.5
Kochi,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,4
Kottayam,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,4.5
Kodaikanal,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,4
Tirunelveli,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,3
Karaikudi,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,3.5
Valparai,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,4
Thirumayam,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,3.5
Thoothukudi,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,2.5
Theni,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4.5
Palani,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3.5
Tiruchirappalli,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3.5
Yercaud,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,4.0
Kumbakonam,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,4.5
Courtallam,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,4
Tiruvannamalai,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,4.5
Yelagiri,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,3.5
Thanjavur,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,4.5
Ooty,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,4
Madurai,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,4
Kanyakumari,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,4.5
Kanchipuram,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,4.5
Chennai,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,4.0
Coimbatore,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,4.5
Coonoor,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4
Rameswaram,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4.5
Yercaud,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,4.0
Pondicherry,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,4
Port Blair,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.5
Havelock Island,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Agatti Island,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5
Lakshadweep,1,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,1,3.5
Silvassa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.5
Namchi,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,4.5
Ravangla,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4.5
Soreng,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Lachung,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5
Gangtok,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,4.5
Dibrugarh,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4.0
Tinsukia,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,4
Digboi,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
Jorhat,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,4
Majuli,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,4.5
Guwahati,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,4
Bhalukpong,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,4
Itanagar,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,3
Tawang,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
Shillong,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,4.5
Cherrapunji,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.5
Mawlynnong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Wokha,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3.5
Dimapur,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,4
Kohima,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,3.5
Ukhrul,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,4
Imphal,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,0,4
Aizawl,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4
Unakoti,1,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,4
Agartala,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,4.5
Murshidabad,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,4.5
Bagdogra,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1
Digha,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,3.5
Gadiara,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.5
Mukutmanipur,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3
Sundarbans,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,4
Haldia,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.5
Raiganj,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,3.5
Asansol,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,3.5
Purulia,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,4.0
Howrah,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,3.5
Baharampur,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,4
Durgapur,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Krishnanagar  Nadia,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,4
Bakkhali,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Mandarmani,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3
Darjeeling,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,4.5
Kolkata,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,4
Kalimpong,1,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,4.0
Rourkela,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,1,1,4
Gopalpur  Odisha,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,3.5
Kendujhar,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5
Phulbani,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
Sambalpur,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,4
Jeypore,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,4.5
Koraput,1,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,2.5
Cuttack,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,3.5
Bhubaneswar,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,4
Puri,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,4.5
Angul,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,4.5
Ghatshila,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3.5
Maluti,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3
Netarhat,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.5
Dumka,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,2
Jamshedpur,1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,4
Medininagar,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,3
Dhanbad,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,4
Hazaribagh,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3
Latehar,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,3
Ranchi,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,4
Bastar district,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,3.5
Jamnagar,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,2.5
Vadodara,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,4.0
Dang District  India,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4
Gandhinagar,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4.5
Mandvi,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,4.5
Bhuj,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,4.5
Bhavnagar,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,4.0
Veraval,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,4
Rajkot,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,4
Kutch district,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,5.0
Dwarka,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,4.0
Palitana,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5.0
Udwada,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,4
Saurashtra (region),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Gondal  India,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,4.5
Diu  India,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4
Junagadh,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,4.5
Porbander,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,0,4
Surat,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Baroda,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,4.5
Ahmedabad,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,4.5
Daman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Tikamgarh,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2
Dewas,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5
Multai,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Bhedaghat,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3.5
Singrauli,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3.5
Jhansi,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,4
Ratlam,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,3.5
Orchha,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,4.5
Amarkantak,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,4.5
Chitrakoot  Madhya Pradesh,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
Sanchi,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,4.5
Datia,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,4
Panchmarhi,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,4.0
Maheshwar,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3.5
Mandu  Madhya Pradesh,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Bhopal,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,4.5
Jabalpur,1,0,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,1,3.5
Indore,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,4.5
Pachmarhi,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,4.5
Gwalior,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,4
Ujjain,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,4.5
Ganpatipule,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,4.5
Saputara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Tuljapur,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.5
Ahmednagar,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,4
Sevagram,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,3
Palghar,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.5
Kaas Plateau,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
Kalyan,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3.5
Sawantwadi,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
Ratnagiri,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
Dudhani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
Shrivardhan,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,4.5
Wai  Maharashtra,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5.0
Solapur,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,3.5
Khed  Ratnagiri,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,4
Amravati,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,4.5
Malvan,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,4.5
Kolad,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Bhivpuri,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.5
Nashik,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,4
Shani Shingnapur,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2
Magarpatta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3.5
Lavasa,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3
Amboli  Sindhudurg,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4
Aamby Valley City,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Diveagar,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Kamshet,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4.0
Aurangabad  Maharashtra,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,4.5
Tarkarli,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4
Tuljapur,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.5
Satara (city),1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
Pandharpur,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3.5
Ganpatipule,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,4.5
Bhandardhara,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4.5
Kolhapur,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,4
Saputara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Navi Mumbai,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,4
Panchgani,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,4.0
Shirdi,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.5
Nagpur,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,4
Mahabaleshwar,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4
Khandala,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
Lonavla,1,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,4
Kihim,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4.0
Dahanu,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,4
Bassein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Alibag,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.0
Mumbai,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,4
Dhaka,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,4.5
Chittagong,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,3.5
Zhejiang,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3.5
Yunnan,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,4
Macau,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,1,4
Guilin,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,4
Shanghai,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,4.5
Beijing,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,4.5
Hong kong,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,4
Bali,1,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,4.5
Java,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,4.5
Jakarta,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,4
Hiroshima,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,4
Tokyo,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,4.5
Almaty,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,3
Pulau Ketam,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.5
Putrajaya,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,3.5
Penang,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,4
Kuala Lumpur,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,4.5
Langkawi,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,4.5
Miri  Malaysia,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,4
Kuala Kangsar District,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Tioman Island,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4.5
Kuantan,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,4
Shah Alam,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,4
Johor Bahru,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,4
Batu Gajah,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,4
Port Dickson,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3.5
Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Pokhara,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,4.5
Lalitpur  Nepal,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,3.5
Kathmandu,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,4
Bhaktapur,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,4
Rawalpindi,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4
Quetta,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,5.0
Peshawar,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,4
Lahore,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,4.5
Karachi,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,4
Islamabad,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,4.5
Gilgit,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,4.5
Manila,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,4.5
Boracay,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4.5
Singapore,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,0,4.5
Sentosa,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,4.5
Seoul,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,4
Bentota,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,3
Kandy,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,4.5
Colombo,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,4
Taichung,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,4
Taipei,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,4
Ko Samui,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,4
Chiang Mai,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,5.0
Phuket City,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4.5
Phuket Province,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,4.5
Pattaya,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,4
Bangkok,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,4.5
Ho Chi Minh City,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,3
Hanoi,1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,4.5
Vienna,0,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,4.0
Salzburg,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,5.0
Innsbruck,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,4.5
Ypres,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,4.5
Antwerp,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3.5
Sofia,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,4.5
Lanzarote,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,4
Canary Islands,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,4.5
Ayia Napa,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,4
Cyprus,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,4.5
Prague,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,4.5
Copenhagen,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,4.5
Cannes,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,4.5
Paris,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,4.5
Heidelberg,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,4
Stuttgart,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,2
