City,Mountain,Desert,Waterfall,Beach,River,Workship-place,Climate,Zoo,Park,Travel,Archaelogical-site,Festival,Pollution,Tourist,Cuisine,Safety,Museum,Stadium,Market,Concert,Rating
Kufri  India,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,3
Una  Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Bharmour,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.5
Khajjiar,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
Chamba  Himachal Pradesh,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,4
Sarahan,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,4
Parwanoo,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,4
Mashobra,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4
Kalpa  Himachal Pradesh,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,4.5
Dharamkot  Himachal Pradesh,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
Kullu,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,4.5
Narkanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Solan,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,4.0
McLeod Ganj,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,4
Kasauli,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,3.5
Nainital,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,4.5
Mussoorie,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,4
Dehradun,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,4.5
Ranikhet,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,4
Almora,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4.5
Auli,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,4.0
Badrinath,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.5
Lansdowne  India,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,4.0
Rishikesh,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,4.5
Mukteshwar,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,4.5
Haridwar,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,4
Munsiari,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5
Kausani,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,4.5
Kotdwar,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,3
Haldwani,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,3
Shivpuri,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,4.5
Chopta,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Kanatal,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4
Munsiari,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.5
Pithoragarh,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,4
Kedarnath,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4.5
Rudrapur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Chamoli district,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,3.5
Kashipur  Uttarakhand,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,3
Devprayag,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,4.5
Champawat,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3.5
Jageshwar,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,4.5
Dhanaulti,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,4.0
Kila Raipur,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.5
Pathankot,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.5
Gurdaspur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Barnala,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.5
Hoshiarpur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
Ludhiana,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,3
Jalandhar,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,4.5
Patiala,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,5.0
Chandigarh,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,4.5
Amritsar,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,4.5
Karnal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Fatehabad  Haryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Bilaspur  Chhattisgarh,0,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,3
Kangra  Himachal Pradesh,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,4
Lahaul and Spiti district,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,5.0
Manesar,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,4
Rohtak,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,4.5
Kurukshetra,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,4.0
Narnaul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5
Hisar (city),0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,4
Faridabad,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,3.5
Gurgaon,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,3
Jaipur,0,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,4.5
Jhalawar,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Bhawani Mandi,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,4.5
Ramdevra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Banswara,1,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,4.5
Hanumangarh,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,4
Pali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
Bundi,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3.5
Jhunjhunu,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.5
Dausa,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,3
Bhilwara,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Sawai Madhopur,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,3
Sirohi,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Barmer  Rajasthan,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.5
Bharatpur  Rajasthan,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,2.5
Mount Abu,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,4.0
Alwar,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,3.5
Bhangarh,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,3
Pushkar,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,4
Ranakpur,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.5
Nathdwara,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,4.5
Udaipur,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,4.5
Chittorgarh,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,4.5
Kota  Rajasthan,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,3.5
Jodhpur,0,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,4.5
Jaisalmer,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,4
